SYMB,MM/DD/YY,NAV
IBNOV2013,5/1/2014,100
IBDEC2013,5/1/2014,100
IBJAN2005,5/1/2014,140.12
IBFEB2005,5/1/2014,139.88
IBMAR2005,5/1/2014,139.64
IBAPR2005,5/1/2014,139.36
IBMAY2005,5/1/2014,140.4
IBJUN2005,5/1/2014,140.16
IBJUL2005,5/1/2014,139.88
IBAUG2005,5/1/2014,139.6
IBSEP2005,5/1/2014,139.32
IBOCT2005,5/1/2014,139.04
IBNOV2005,5/1/2014,134.96
IBDEC2005,5/1/2014,134.68
IBJAN2004,5/1/2014,145.32
IBFEB2004,5/1/2014,145.08
IBMAR2004,5/1/2014,144.8
IBAPR2004,5/1/2014,144.52
IBMAY2004,5/1/2014,143.04
IBJUN2004,5/1/2014,142.76
IBJUL2004,5/1/2014,142.52
IBAUG2004,5/1/2014,142.24
IBSEP2004,5/1/2014,142.0
IBOCT2004,5/1/2014,141.72
IBNOV2004,5/1/2014,140.64
IBDEC2004,5/1/2014,140.4
IBJAN2003,5/1/2014,159.72
IBFEB2003,5/1/2014,159.32
IBMAR2003,5/1/2014,158.96
IBAPR2003,5/1/2014,158.60
IBMAY2003,5/1/2014,149.40
IBJUN2003,5/1/2014,149.12
IBJUL2003,5/1/2014,148.84
IBAUG2003,5/1/2014,148.56
IBSEP2003,5/1/2014,148.28
IBOCT2003,5/1/2014,148
IBNOV2003,5/1/2014,145.88
IBDEC2003,5/1/2014,145.6
IBJAN2002,5/1/2014,172.60
IBFEB2002,5/1/2014,172.16
IBMAR2002,5/1/2014,171.72
IBAPR2002,5/1/2014,171.24
IBMAY2002,5/1/2014,169.80
IBJUN2002,5/1/2014,169.32
IBJUL2002,5/1/2014,168.88
IBAUG2002,5/1/2014,168.44
IBSEP2002,5/1/2014,168
IBOCT2002,5/1/2014,167.56
IBNOV2002,5/1/2014,160.44
IBDEC2002,5/1/2014,160.08
IBJAN2001,5/1/2014,216.52
IBFEB2001,5/1/2014,215.72
IBMAR2001,5/1/2014,214.92
IBAPR2001,5/1/2014,214.08
IBMAY2001,5/1/2014,201.2
IBJUN2001,5/1/2014,200.52
IBJUL2001,5/1/2014,199.84
IBAUG2001,5/1/2014,199.12
IBSEP2001,5/1/2014,198.44
IBOCT2001,5/1/2014,197.76
IBNOV2001,5/1/2014,173.52
IBDEC2001,5/1/2014,173.08
IBJAN2000,5/1/2014,232.20
IBFEB2000,5/1/2014,231.32
IBMAR2000,5/1/2014,230.48
IBAPR2000,5/1/2014,229.6
IBMAY2000,5/1/2014,232.20
IBJUN2000,5/1/2014,231.28
IBJUL2000,5/1/2014,230.36
IBAUG2000,5/1/2014,229.48
IBSEP2000,5/1/2014,228.56
IBOCT2000,5/1/2014,227.64
IBNOV2000,5/1/2014,218.20
IBDEC2000,5/1/2014,217.36
IBJAN1999,5/1/2014,241.08
IBFEB1999,5/1/2014,240.16
